"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "TypeScript JSX", "MS SQL", "CSS", "comment", "blank", "total"
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\config\mongodb.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\config\pgdb.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\config\razorpay.config.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\controllers\cart.controller.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\controllers\payments.controller.js", "JavaScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 7, 20, 127
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\models\cartModels.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\models\orderSchema.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\package-lock.json", "JSON", 1484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1485
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\routes\payments.router.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\backend\server.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\eslint.config.mjs", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\next-auth.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\next.config.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\package-lock.json", "JSON", 7364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7365
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\public\svgs\Google.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\public\svgs\cardcompanies.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 3, 133
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 1, 10, 159
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\cart\cartpage\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 12, 222
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\cart\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\orders\[customer_id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\products\[product_id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\search\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 7, 72
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\sell\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\(subpages)\wishlist\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 8, 69
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\account\route.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 6, 55
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\cartDetails\getProducts\route.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart\src\app\api\cartDetails\removeProduct\route.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 8, 42
