Date : 2025-04-27 10:25:52
Directory : c:\Users\Risbern\OneDrive\Desktop\typescript\cybercart
Total : 81 files,  12756 codes, 94 comments, 399 blanks, all 13249 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      8,916 |          0 |          4 |      8,920 |
| TypeScript JSX     |         39 |      2,836 |         11 |        207 |      3,054 |
| TypeScript         |         21 |        634 |         72 |        113 |        819 |
| JavaScript         |         11 |        211 |          8 |         55 |        274 |
| CSS                |          1 |         70 |          3 |         14 |         87 |
| XML                |          2 |         37 |          0 |          2 |         39 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| MS SQL             |          1 |         24 |          0 |          2 |         26 |
| Markdown           |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         81 |     12,756 |         94 |        399 |     13,249 |
| . (Files)                                                                                                |          8 |      7,479 |          1 |         14 |      7,494 |
| backend                                                                                                  |         11 |      1,700 |          8 |         50 |      1,758 |
| backend (Files)                                                                                          |          3 |      1,519 |          0 |          7 |      1,526 |
| backend\config                                                                                           |          3 |         34 |          1 |          9 |         44 |
| backend\controllers                                                                                      |          2 |        117 |          7 |         24 |        148 |
| backend\models                                                                                           |          2 |         22 |          0 |          6 |         28 |
| backend\routes                                                                                           |          1 |          8 |          0 |          4 |         12 |
| public                                                                                                   |          2 |         37 |          0 |          2 |         39 |
| public\svgs                                                                                              |          2 |         37 |          0 |          2 |         39 |
| src                                                                                                      |         60 |      3,540 |         85 |        333 |      3,958 |
| src\app                                                                                                  |         31 |      1,412 |         78 |        174 |      1,664 |
| src\app (Files)                                                                                          |          4 |        149 |          6 |         24 |        179 |
| src\app\(subpages)                                                                                       |         13 |        767 |          1 |         62 |        830 |
| src\app\(subpages) (Files)                                                                               |          1 |          7 |          0 |          1 |          8 |
| src\app\(subpages)\about                                                                                 |          1 |        130 |          0 |          3 |        133 |
| src\app\(subpages)\account                                                                               |          1 |        148 |          1 |         10 |        159 |
| src\app\(subpages)\cart                                                                                  |          2 |        226 |          0 |         15 |        241 |
| src\app\(subpages)\cart\cartpage                                                                         |          1 |        210 |          0 |         12 |        222 |
| src\app\(subpages)\cart\checkout                                                                         |          1 |         16 |          0 |          3 |         19 |
| src\app\(subpages)\contact                                                                               |          1 |         46 |          0 |          3 |         49 |
| src\app\(subpages)\login                                                                                 |          1 |         19 |          0 |          3 |         22 |
| src\app\(subpages)\orders                                                                                |          1 |         11 |          0 |          4 |         15 |
| src\app\(subpages)\orders\[customer_id]                                                                  |          1 |         11 |          0 |          4 |         15 |
| src\app\(subpages)\products                                                                              |          1 |         15 |          0 |          3 |         18 |
| src\app\(subpages)\products\[product_id]                                                                 |          1 |         15 |          0 |          3 |         18 |
| src\app\(subpages)\search                                                                                |          1 |         65 |          0 |          7 |         72 |
| src\app\(subpages)\sell                                                                                  |          1 |         19 |          0 |          2 |         21 |
| src\app\(subpages)\signup                                                                                |          1 |         20 |          0 |          3 |         23 |
| src\app\(subpages)\wishlist                                                                              |          1 |         61 |          0 |          8 |         69 |
| src\app\api                                                                                              |         12 |        474 |         71 |         83 |        628 |
| src\app\api\account                                                                                      |          1 |         48 |          1 |          6 |         55 |
| src\app\api\auth                                                                                         |          1 |         68 |          0 |          8 |         76 |
| src\app\api\auth\[...nextauth]                                                                           |          1 |         68 |          0 |          8 |         76 |
| src\app\api\cartDetails                                                                                  |          3 |        100 |         21 |         21 |        142 |
| src\app\api\cartDetails (Files)                                                                          |          1 |         41 |         18 |         10 |         69 |
| src\app\api\cartDetails\getProducts                                                                      |          1 |         26 |          2 |          3 |         31 |
| src\app\api\cartDetails\removeProduct                                                                    |          1 |         33 |          1 |          8 |         42 |
| src\app\api\orders                                                                                       |          2 |         82 |         19 |         16 |        117 |
| src\app\api\orders (Files)                                                                               |          1 |         44 |         17 |          6 |         67 |
| src\app\api\orders\getOrders                                                                             |          1 |         38 |          2 |         10 |         50 |
| src\app\api\products                                                                                     |          2 |         82 |          1 |         13 |         96 |
| src\app\api\products (Files)                                                                             |          1 |         65 |          1 |          7 |         73 |
| src\app\api\products\getProductById                                                                      |          1 |         17 |          0 |          6 |         23 |
| src\app\api\relatedProducts                                                                              |          1 |         28 |         18 |          8 |         54 |
| src\app\api\searchProducts                                                                               |          1 |         26 |          0 |          5 |         31 |
| src\app\api\wishlist                                                                                     |          1 |         40 |         11 |          6 |         57 |
| src\app\models                                                                                           |          2 |         22 |          0 |          5 |         27 |
| src\components                                                                                           |         22 |      1,979 |          7 |        134 |      2,120 |
| src\components (Files)                                                                                   |         10 |        654 |          0 |         41 |        695 |
| src\components\HomePage                                                                                  |          2 |        348 |          0 |         12 |        360 |
| src\components\account                                                                                   |          1 |         86 |          2 |          9 |         97 |
| src\components\checkout                                                                                  |          1 |        233 |          0 |         18 |        251 |
| src\components\contact                                                                                   |          1 |         98 |          0 |          7 |        105 |
| src\components\context                                                                                   |          1 |         11 |          0 |          4 |         15 |
| src\components\login                                                                                     |          1 |         65 |          0 |          4 |         69 |
| src\components\orders                                                                                    |          1 |         58 |          1 |          7 |         66 |
| src\components\products                                                                                  |          2 |        237 |          4 |         18 |        259 |
| src\components\sell                                                                                      |          1 |        131 |          0 |          9 |        140 |
| src\components\signup                                                                                    |          1 |         58 |          0 |          5 |         63 |
| src\lib                                                                                                  |          6 |        107 |          0 |         20 |        127 |
| src\lib\database                                                                                         |          4 |         83 |          0 |         13 |         96 |
| src\lib\db                                                                                               |          2 |         24 |          0 |          7 |         31 |
| src\lib\db\mongodb                                                                                       |          1 |         11 |          0 |          2 |         13 |
| src\lib\db\pgsql                                                                                         |          1 |         13 |          0 |          5 |         18 |
| src\types                                                                                                |          1 |         42 |          0 |          5 |         47 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
